22:05:14.152 [INFO] cli_log::init: Starting polymarket v0.1.0 with log level DEBUG
22:05:14.153 [INFO] polymarket: Starting Polymarket Orderbook Viewer...
22:05:14.230 [DEBUG] reqwest::connect: starting new connection: https://clob.polymarket.com/
22:05:14.622 [INFO] polymarket::app::core: Loading next batch of markets... (total so far: 500)
22:05:14.904 [INFO] polymarket::app::core: Loading next batch of markets... (total so far: 1000)
22:05:15.272 [INFO] polymarket::app::core: Loading next batch of markets... (total so far: 1500)
22:05:15.388 [INFO] polymarket::app::core: Reached end of markets pagination
22:05:15.389 [DEBUG] reqwest::connect: starting new connection: https://gamma-api.polymarket.com/
22:05:17.548 [INFO] polymarket::app::core: Loaded 500 gamma events starting from index 0
22:05:20.110 [INFO] polymarket::app::core: Loaded 500 gamma events starting from index 500
22:05:20.600 [INFO] polymarket::app::core: Loaded 186 gamma events starting from index 1000
22:05:20.600 [INFO] polymarket::app::core: Reached end of gamma events pagination or max limit reached
22:05:20.610 [INFO] polymarket::app::core: Successfully loaded 1506 markets total
22:05:21.180 [DEBUG] polymarket::app::navigation: Using regular market logic for token ID retrieval
22:05:21.180 [INFO] polymarket: Loading orderbook for token ID: 51763106650496752541729852536693698972250609969744350680933901034551176542113
22:05:21.232 [INFO] polymarket::app::core: Loaded price history for token ID: 51763106650496752541729852536693698972250609969744350680933901034551176542113
22:05:21.309 [INFO] polymarket::app::websocket: Starting WebSocket connection for token: 51763106650496752541729852536693698972250609969744350680933901034551176542113
22:05:21.310 [INFO] polymarket::app::websocket: WebSocket started for token: 51763106650496752541729852536693698972250609969744350680933901034551176542113
22:05:21.313 [INFO] polymarket::websocket::clob: Connecting to WebSocket at: wss://ws-subscriptions-clob.polymarket.com/ws/market
22:05:21.338 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:21.439 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:21.540 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:21.565 [DEBUG] tungstenite::handshake::client: Client handshake done.
22:05:21.566 [INFO] polymarket::websocket::clob: ✅ Connected and subscribed to market channel
22:05:21.594 [INFO] polymarket::websocket::clob: 📊 Book Update: 25 bids, 20 asks for asset 5176310665
22:05:21.641 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:21.741 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:21.842 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:21.943 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:22.043 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:22.144 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:22.246 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:22.347 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:22.448 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:22.550 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:22.650 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:22.751 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:22.852 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:22.953 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:23.053 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:23.154 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:23.254 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:23.355 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:23.456 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:23.556 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:23.658 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:23.758 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:23.859 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:23.960 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:24.060 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:24.161 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:24.262 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
